證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8080000","1451134550","179.20","180.45","178.80","180.00","0.0000","4153"
"0051","元大中型100","85000","7133750","83.35","84.10","83.35","83.90","0.5500","71"
"0052","富邦科技","373000","66203950","177.40","178.15","176.65","177.55","0.0500","272"
"0053","元大電子","107000","10491950","98.60","98.60","97.80","97.80","-0.8000","39"
"0055","元大MSCI金融","206000","5563730","26.94","27.05","26.93","27.04","0.1000","126"
"0056","元大高股息","15108000","615492340","40.56","40.85","40.55","40.79","0.2400","8017"
"0057","富邦摩台","12000","1588400","132.60","132.60","132.05","132.50","-0.1000","6"
"0061","元大寶滬深","169000","2904520","17.16","17.26","17.15","17.23","0.0700","58"
"006203","元大MSCI台灣","8000","680950","85.00","85.25","85.00","85.10","-0.1000","6"
"006204","永豐臺灣加權","14000","1563800","111.70","111.75","111.65","111.70","0.1000","5"
"006205","富邦上証","543000","16038920","29.59","29.69","29.47","29.48","-0.1000","256"
"006206","元大上證50","118000","3322050","28.15","28.25","28.09","28.16","0.0100","72"
"006207","復華滬深","23000","514780","22.36","22.44","22.36","22.42","0.1600","10"
"006208","富邦台50","5815000","611870100","105.20","105.65","104.75","105.20","-0.0500","3463"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","1633000","387130750","236.55","238.50","236.00","237.10","0.0000","894"
"00632R","元大台灣50反1","94335000","330937580","3.52","3.52","3.49","3.51","0.0000","3626"
"00633L","富邦上証正2","3591000","120957690","33.75","33.86","33.40","33.63","0.0900","865"
"00634R","富邦上証反1","92000","426990","4.63","4.65","4.63","4.65","-0.0300","16"
"00635U","期元大S&P黃金","259000","7108150","27.45","27.49","27.41","27.43","0.1800","133"
"00636","國泰中國A50","1445000","29656950","20.53","20.60","20.46","20.53","0.0300","224"
"00636K","國泰中國A50+U","200","1270","6.35","6.35","6.35","6.35","0.0600","2"
"00637L","元大滬深300正2","32954000","445282270","13.54","13.59","13.41","13.49","0.0300","3081"
"00638R","元大滬深300反1","89000","866100","9.72","9.75","9.72","9.72","-0.0200","21"
"00639","富邦深100","544000","5718660","10.50","10.58","10.45","10.54","0.0500","178"
"00640L","富邦日本正2","2508000","139271250","55.40","55.90","55.25","55.50","-1.9500","798"
"00641R","富邦日本反1","899000","5881970","6.54","6.56","6.51","6.56","0.1300","153"
"00642U","期元大S&P石油","824000","14465610","17.55","17.58","17.53","17.55","-0.0200","224"
"00643","群益深証中小","1953000","22768930","11.58","11.74","11.56","11.71","0.1300","109"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","2283000","85334010","37.32","37.52","37.30","37.38","-0.6700","1075"
"00646","元大S&P500","6425000","351633050","54.85","54.85","54.65","54.65","-0.1500","1872"
"00647L","元大S&P500正2","64000","5651350","88.35","88.40","88.20","88.20","-0.3500","42"
"00648R","元大S&P500反1","390000","2169060","5.56","5.57","5.56","5.57","0.0200","41"
"00650L","復華香港正2","43431000","441070730","10.11","10.38","9.94","10.22","-0.0100","3306"
"00651R","復華香港反1","300000","2643990","8.83","8.90","8.70","8.78","0.0100","78"
"00652","富邦印度","302000","11589930","38.20","38.41","38.20","38.35","0.1900","238"
"00653L","富邦印度正2","290000","17659100","60.70","61.00","60.70","61.00","0.4000","121"
"00654R","富邦印度反1","342000","2243350","6.59","6.59","6.55","6.55","-0.0500","54"
"00655L","國泰中國A50正2","2004000","46039520","23.05","23.13","22.78","22.95","0.0300","380"
"00656R","國泰中國A50反1","171000","1491400","8.72","8.75","8.71","8.74","-0.0200","15"
"00657","國泰日經225","900000","40206640","45.08","45.08","44.56","44.72","-0.8900","109"
"00657K","國泰日經225+U","200","2760","13.80","13.80","13.80","13.80","-0.3200","2"
"00660","元大歐洲50","37000","1302080","35.17","35.27","35.16","35.25","-0.6100","16"
"00661","元大日經225","940000","45947710","49.29","49.29","48.75","48.94","-0.9700","324"
"00662","富邦NASDAQ","4933000","404838000","82.00","82.15","81.85","82.00","0.2500","1066"
"00663L","國泰臺灣加權正2","2000","436050","218.25","218.25","217.80","217.80","0.0000","2"
"00664R","國泰臺灣加權反1","8042000","32043390","3.99","4.00","3.97","3.98","-0.0100","320"
"00665L","富邦恒生國企正2","72541000","488353960","6.68","6.90","6.58","6.79","0.0100","4757"
"00666R","富邦恒生國企反1","120000","1769730","14.80","14.91","14.59","14.74","0.0000","34"
"00668","國泰美國道瓊","47000","2134070","45.43","45.43","45.37","45.40","-0.1400","20"
"00668K","國泰美國道瓊+U","200","2802","14.01","14.01","14.01","14.01","-0.0300","2"
"00669R","國泰美國道瓊反1","3758000","27255760","7.24","7.26","7.24","7.26","0.0300","126"
"00670L","富邦NASDAQ正2","638000","81107200","127.10","127.30","127.00","127.10","0.7500","212"
"00671R","富邦NASDAQ反1","6162000","23243040","3.77","3.78","3.77","3.77","-0.0200","274"
"00673R","期元大S&P原油反1","4225000","31459040","7.45","7.46","7.43","7.46","0.0100","315"
"00674R","期元大S&P黃金反1","1035000","11071550","10.70","10.72","10.68","10.72","-0.0700","105"
"00675L","富邦臺灣加權正2","1299000","123441700","94.85","95.70","94.55","95.00","0.0000","693"
"00676R","富邦臺灣加權反1","4054000","8948610","2.21","2.22","2.20","2.20","-0.0100","178"
"00678","群益那斯達克生技","268000","7746200","28.87","28.95","28.87","28.90","-0.1400","31"
"00680L","元大美債20正2","46395000","414323490","8.91","8.95","8.91","8.94","0.1400","4248"
"00681R","元大美債20反1","237000","4739980","20.01","20.01","19.98","20.01","-0.1200","53"
"00682U","期元大美元指數","13000","277520","21.34","21.36","21.34","21.36","0.0700","6"
"00683L","期元大美元指正2","63000","1463280","23.21","23.24","23.21","23.23","0.1000","23"
"00684R","期元大美元指反1","5000","76240","15.26","15.26","15.23","15.23","-0.0600","3"
"00685L","群益臺灣加權正2","281000","23781700","84.55","85.20","84.30","84.60","-0.0500","126"
"00686R","群益臺灣加權反1","1748000","4144510","2.38","2.38","2.36","2.38","0.0000","46"
"00688L","國泰20年美債正2","27340000","242956170","8.87","8.91","8.87","8.88","0.1200","2212"
"00689R","國泰20年美債反1","31000","641730","20.72","20.72","20.69","20.70","-0.1500","13"
"00690","兆豐藍籌30","503000","17359570","34.54","34.60","34.40","34.49","-0.0500","182"
"00692","富邦公司治理","3700000","157961870","42.65","42.86","42.55","42.71","0.0300","1379"
"00693U","期街口S&P黃豆","500000","11719170","23.56","23.56","23.38","23.38","-0.3100","209"
"00700","富邦恒生國企","437000","5546310","12.74","12.91","12.57","12.74","-0.0100","139"
"00701","國泰股利精選30","593000","16561590","27.87","27.98","27.86","27.88","-0.0900","217"
"00702","國泰標普低波高息","119000","2758560","23.24","23.24","23.16","23.20","-0.0500","8"
"00703","台新MSCI中國","80000","1245720","15.49","15.68","15.43","15.57","0.0300","19"
"00706L","期元大S&P日圓正2","2983000","18055190","6.05","6.06","6.04","6.06","0.0400","434"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","888000","29488730","33.15","33.30","33.12","33.13","0.4000","233"
"00709","富邦歐洲","51000","1507280","29.53","29.58","29.47","29.57","-0.3100","25"
"00710B","復華彭博非投等債","317000","6203410","19.55","19.59","19.55","19.56","-0.0600","91"
"00711B","復華彭博新興債","340000","5650310","16.67","16.67","16.59","16.60","-0.0700","39"
"00712","復華富時不動產","24766000","241529380","9.76","9.76","9.74","9.76","0.0000","4607"
"00713","元大台灣高息低波","22103000","1308376600","59.10","59.30","59.00","59.25","0.1500","7646"
"00714","群益道瓊美國地產","230000","4494050","19.54","19.55","19.53","19.54","0.0000","43"
"00715L","期街口布蘭特正2","5779000","91710780","15.90","15.92","15.83","15.85","-0.0800","799"
"00717","富邦美國特別股","187000","2959990","15.86","15.86","15.80","15.84","-0.0400","89"
"00728","第一金工業30","332000","10642890","31.96","32.27","31.94","32.17","0.2100","105"
"00730","富邦臺灣優質高息","258000","5924940","22.83","23.02","22.81","22.97","0.1400","187"
"00731","復華富時高息低波","1085000","83148700","76.60","76.80","76.35","76.70","0.3000","247"
"00733","富邦臺灣中小","2118000","127698250","60.20","60.45","60.10","60.25","0.1000","988"
"00735","國泰臺韓科技","167000","6259620","37.45","37.57","37.41","37.47","0.0200","21"
"00736","國泰新興市場","101000","2270500","22.48","22.50","22.48","22.50","0.0500","3"
"00737","國泰AI+Robo","844000","25466240","30.25","30.25","30.13","30.15","-0.3800","94"
"00738U","期元大道瓊白銀","787000","21182270","26.97","27.05","26.78","26.83","0.2200","232"
"00739","元大MSCI A股","78000","1628670","20.90","20.96","20.84","20.92","0.0800","37"
"00752","中信中國50","2018000","37505060","18.66","18.78","18.45","18.66","0.0000","491"
"00753L","中信中國50正2","16406000","131468730","8.00","8.12","7.90","8.05","-0.0100","1804"
"00757","統一FANG+","6168000","539673100","87.30","87.60","87.25","87.60","0.6500","1186"
"00762","元大全球AI","391000","24889250","63.55","63.75","63.55","63.75","0.2000","304"
"00763U","期街口道瓊銅","386000","10548650","27.40","27.44","27.22","27.25","-0.3700","186"
"00770","國泰北美科技","675000","31751790","46.85","47.08","46.85","47.08","0.2700","315"
"00771","元大US高息特別股","70000","1219440","17.44","17.44","17.37","17.44","-0.0200","29"
"00775B","新光投等債15+","846000","29457360","34.79","34.83","34.79","34.81","-0.0700","15"
"00783","富邦中証500","175000","3140710","18.01","18.01","17.92","17.97","0.0900","22"
"00830","國泰費城半導體","6813000","348370850","51.25","51.25","51.05","51.10","-0.3000","2138"
"00850","元大臺灣ESG永續","1128000","50076170","44.35","44.50","44.19","44.42","0.0500","817"
"00851","台新全球AI","72000","3319800","46.09","46.13","46.04","46.12","0.0800","33"
"00852L","國泰美國道瓊正2","264000","6143090","23.36","23.36","23.25","23.31","-0.1000","83"
"00861","元大全球未來通訊","50000","2141090","43.00","43.00","42.77","42.80","0.1000","43"
"00865B","國泰US短期公債","212000","9625330","45.44","45.45","45.36","45.39","-0.0100","36"
"00875","國泰網路資安","124000","3924180","31.57","31.68","31.56","31.67","-0.1300","42"
"00876","元大全球5G","659000","27165940","41.33","41.33","40.96","41.24","-0.2000","145"
"00878","國泰永續高股息","39002000","910822770","23.33","23.40","23.27","23.37","0.0400","12602"
"00881","國泰台灣5G+","9289000","226834260","24.43","24.54","24.33","24.45","0.0200","3278"
"00882","中信中國高股息","14378000","168950770","11.84","11.84","11.68","11.74","-0.0900","3416"
"00885","富邦越南","12286000","148758180","12.18","12.19","12.05","12.07","-0.2100","3158"
"00891","中信關鍵半導體","5949000","115170830","19.36","19.44","19.27","19.35","-0.0300","1933"
"00892","富邦台灣半導體","3129000","53877230","17.20","17.28","17.14","17.17","-0.0100","746"
"00893","國泰智能電動車","5980000","131736670","21.96","22.06","21.94","22.05","-0.1500","837"
"00894","中信小資高價30","542000","11382170","21.01","21.06","20.93","20.95","-0.1100","140"
"00895","富邦未來車","2944000","81908980","27.91","27.91","27.74","27.83","-0.1900","1346"
"00896","中信綠能及電動車","2478000","46073820","18.50","18.64","18.50","18.62","0.1400","553"
"00897","富邦基因免疫生技","973000","7868150","8.13","8.13","8.07","8.09","-0.1000","223"
"00898","國泰基因免疫革命","682000","4861410","7.18","7.19","7.11","7.13","-0.0700","173"
"00899","FT潔淨能源","294000","5173070","17.82","17.82","17.50","17.58","-0.3700","124"
"00900","富邦特選高股息30","8548000","142858780","16.61","16.76","16.61","16.74","0.0600","1775"
"00901","永豐智能車供應鏈","581000","11909350","20.48","20.55","20.42","20.49","0.0100","89"
"00902","中信電池及儲能","3433000","32567260","9.51","9.54","9.44","9.53","-0.0500","914"
"00903","富邦元宇宙","791000","11286910","14.29","14.33","14.25","14.25","-0.0800","191"
"00904","新光臺灣半導體30","1424000","26824510","18.83","18.92","18.76","18.85","0.0300","223"
"00905","FT臺灣Smart","1703000","23271330","13.64","13.71","13.62","13.66","0.0200","569"
"00907","永豐優息存股","4306000","71768320","16.70","16.73","16.59","16.68","-0.0200","891"
"00908","富邦入息REITs+","730000","8915020","12.26","12.26","12.20","12.21","-0.0600","73"
"00909","國泰數位支付服務","997000","27241460","27.46","27.46","27.23","27.33","-0.1900","416"
"00910","第一金太空衛星","346000","6137160","17.75","17.78","17.71","17.71","-0.2700","21"
"00911","兆豐洲際半導體","1386000","43033700","31.20","31.20","30.93","30.94","-0.1100","308"
"00912","中信臺灣智慧50","377000","7132470","18.95","18.98","18.88","18.94","-0.0200","86"
"00913","兆豐台灣晶圓製造","53000","1169530","22.05","22.15","22.00","22.07","0.0200","26"
"00915","凱基優選高股息30","12563000","352402240","27.96","28.15","27.90","28.12","0.1600","3326"
"00916","國泰全球品牌50","263000","5876950","22.34","22.37","22.32","22.34","-0.0500","170"
"00917","中信特選金融","1089000","20879360","19.20","19.20","19.16","19.17","-0.0600","661"
"00918","大華優利高填息30","87201000","2255047490","25.73","25.94","25.70","25.88","0.1900","16663"
"00919","群益台灣精選高息","85445000","2253667740","26.30","26.45","26.25","26.40","0.1300","20269"
"00920","富邦ESG綠色電力","638000","9654120","15.18","15.18","15.11","15.13","-0.2800","117"
"00921","兆豐龍頭等權重","6248000","123182500","19.66","19.76","19.61","19.73","0.1000","1548"
"00922","國泰台灣領袖50","3338000","70871310","21.20","21.30","21.16","21.25","-0.0300","1274"
"00923","群益台ESG低碳50","5185000","115196220","22.20","22.29","22.14","22.27","0.0000","2203"
"00924","復華S&P500成長","1359000","30629930","22.50","22.56","22.50","22.56","0.0800","522"
"00925","新光標普電動車","259000","4006960","15.49","15.49","15.47","15.48","-0.3300","24"
"00926","凱基全球菁英55","824000","18525090","22.54","22.54","22.46","22.48","-0.0800","293"
"00927","群益半導體收益","4870000","100212120","20.51","20.69","20.49","20.58","0.0400","1202"
"00929","復華台灣科技優息","155069000","3268271970","21.00","21.15","20.93","21.09","0.0900","30794"
"00930","永豐ESG低碳高息","2179000","46170010","21.14","21.27","21.14","21.19","0.0500","402"
"00932","兆豐永續高息等權","3242000","58279460","17.90","18.01","17.90","17.98","0.0500","707"
"00934","中信成長高股息","6620000","132843020","20.04","20.15","19.97","20.08","0.0400","982"
"00935","野村臺灣新科技50","3195000","70429590","22.03","22.14","21.98","22.03","0.0000","1065"
"00936","台新永續高息中小","95988000","1900526680","19.64","19.95","19.63","19.86","0.2300","17158"
"00939","統一台灣高息動能","33666000","498188260","14.71","14.85","14.70","14.81","0.0800","5478"
"00940","元大台灣價值高息","206701000","2080066550","10.03","10.09","10.01","10.07","0.0400","26927"
"00941","中信上游半導體","12102000","188232700","15.62","15.62","15.53","15.53","-0.2300","3935"
"00943","兆豐電子高息等權","1129000","17509780","15.51","15.55","15.47","15.51","0.0100","213"
"00944","野村趨勢動能高息","5181000","77775720","15.00","15.05","14.97","15.02","0.0100","945"
"00945B","凱基美國非投等債","4623000","69619670","15.08","15.08","15.05","15.06","-0.0500","506"
"00946","群益科技高息成長","28995000","309222860","10.62","10.70","10.60","10.69","0.0500","4734"
"00947","台新臺灣IC設計","14386000","227054860","15.80","15.84","15.71","15.79","0.0800","3154"
"01001T","土銀富邦R1","20000","289380","14.44","14.49","14.44","14.46","-0.0300","7"
"01002T","土銀國泰R1","454000","7657950","16.87","16.88","16.85","16.86","0.0100","14"
"01004T","土銀富邦R2","962000","12099760","12.58","12.58","12.57","12.58","0.0000","26"
"01007T","兆豐國泰R2","34000","569100","16.69","17.13","16.69","17.05","0.3900","6"
"01009T","王道圓滿R1","2000","15770","7.89","7.89","7.88","7.88","0.0000","2"
"01010T","京城樂富R1","51000","511000","10.01","10.02","10.01","10.02","0.0000","9"
"020000","富邦特選蘋果N","2000","24180","12.05","12.13","12.05","12.13","0.0000","2"
"020011","統一微波高息20N","1000","10690","10.69","10.69","10.69","10.69","0.1300","1"
"020012","富邦行動通訊N","1000","10200","10.20","10.20","10.20","10.20","0.0000","1"
"020015","統一MSCI美低波N","","","","","","","0.0000",""
"020016","統一MSCI美科技N","","","","","","","0.0000",""
"020018","統一價值成長30N","2000","49750","24.83","24.92","24.83","24.92","0.0200","2"
"020019","統一特選台灣5GN","","","","","","","0.0000",""
"02001L","富邦蘋果正二N","55000","1528030","27.67","28.00","27.59","27.93","0.3900","17"
"02001R","富邦蘋果反一N","999000","1498500","1.50","1.50","1.50","1.50","-0.0100","3"
"02001S","策元大加權策略N","69000","508190","7.36","7.37","7.36","7.36","0.0000","7"
"020020","元大台股領航N","44000","500930","11.41","11.43","11.35","11.38","-0.0200","18"
"020028","元大特選電動車N","95000","891350","9.39","9.40","9.35","9.36","0.0600","17"
"020029","元大ESG高股息N","57000","524860","9.20","9.23","9.18","9.18","-0.0400","14"
"020030","統一智慧電動車N","28000","178800","6.39","6.39","6.36","6.36","-0.0300","5"
