"證券代號","證券名稱","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","漲跌幅"
"1473","台南","8984000","4.3463055E8","52.0","53.0","47.8","47.8","-5.3","3600","-9.98"
"4967","十銓","7426000","1.1994505E9","161.5","163.5","161.5","161.5","-17.5","4138","-9.78"
"2540","愛山林","2856000","5.39715E8","196.5","197.5","180.5","182.0","-14.0","1872","-7.14"
"4555","氣立","121000","7169400.0","60.8","61.5","58.0","58.0","-3.8","119","-6.15"
"1560","中砂","5201000","1.5286935E9","301.0","303.5","288.5","288.5","-17.0","3952","-5.56"
"4588","玖鼎電力","1769000","2.125895E8","126.0","126.0","116.5","119.0","-7.0","1427","-5.56"
"2537","聯上發","17869000","4.181711E8","24.5","24.7","22.9","22.9","-1.3","6982","-5.37"
"2527","宏璟","3040000","1.4049235E8","48.2","48.7","45.4","45.4","-2.55","1992","-5.32"
"2348","海悅","1823000","4.1659E8","235.5","238.0","223.0","223.5","-11.0","1494","-4.69"
"2427","三商電","6738000","2.045208E8","30.85","31.0","29.9","29.95","-1.4","3790","-4.47"
"3416","融程電","841000","1.289485E8","156.5","158.0","150.0","150.0","-7.0","598","-4.46"
"4571","鈞興-KY","511000","7.26545E7","145.0","146.5","140.0","140.0","-6.5","434","-4.44"
"1453","大將","3199000","9.061475E7","29.2","29.75","27.75","27.8","-1.25","1781","-4.30"
"2615","萬海","93608000","8.5095374E9","94.0","94.1","88.5","89.1","-3.7","49420","-3.99"
"2442","新美齊","3729000","1.1731025E8","32.3","32.35","31.05","31.05","-1.25","1707","-3.87"
"4943","康控-KY","90000","1824400.0","20.75","20.85","19.9","20.0","-0.8","46","-3.85"
"6781","AES-KY","426000","2.59904E8","627.0","628.0","602.0","603.0","-24.0","395","-3.83"
"6669","緯穎","1039000","2.7822E9","2740.0","2740.0","2655.0","2660.0","-105.0","934","-3.80"
"2613","中櫃","9808000","4.5356265E8","47.5","47.85","45.0","45.05","-1.75","5730","-3.74"
"1513","中興電","38079000","7.184484E9","194.0","194.0","183.0","184.0","-7.0","25334","-3.66"
