"證券代號","證券名稱","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","漲跌幅"
"8374","羅昇","1657000","1.281069E8","73.1","79.2","73.1","79.2","7.2","746","10.00"
"1325","恆大","8368000","2.8641285E8","32.2","34.65","32.2","34.65","3.15","4177","10.00"
"9105","泰金寶-DR","49383000","2.9133364E8","5.8","5.95","5.7","5.95","0.54","5724"," 9.98"
"4545","銘鈺","2506000","1.258407E8","46.55","51.9","46.3","51.9","4.7","1494"," 9.96"
"4566","時碩工業","25177000","2.3891682E9","93.0","99.4","90.5","99.4","9.0","12579"," 9.96"
"6834","天二科技","3999000","1.719713E8","40.2","44.2","39.7","44.2","4.0","2365"," 9.95"
"3622","洋華","19755000","1.6253296E9","80.0","84.1","80.0","84.1","7.6","10987"," 9.93"
"6451","訊芯-KY","3570000","8.075995E8","225.0","227.0","222.5","227.0","20.5","1703"," 9.93"
"2438","翔耀","3420000","1.327103E8","38.5","39.35","36.75","39.35","3.55","1523"," 9.92"
"9103","美德醫療-DR","12154000","9.500939E7","7.24","7.88","7.22","7.88","0.71","2402"," 9.90"
"2360","致茂","4544000","1.400306E9","298.5","311.0","297.5","311.0","28.0","2378"," 9.89"
"6449","鈺邦","2114000","3.10844E8","143.5","150.0","142.5","150.0","13.5","975"," 9.89"
"2365","昆盈","14260000","4.804539E8","31.85","35.0","31.75","35.0","3.15","6628"," 9.89"
"2429","銘旺科","946000","2.298245E7","22.5","24.5","22.5","24.5","2.2","354"," 9.87"
"4562","穎漢","20679000","1.04414445E9","50.4","51.5","49.0","51.5","4.6","8875"," 9.81"
"3041","揚智","6015000","1.4128835E8","22.2","24.1","22.2","24.1","2.15","2622"," 9.79"
"6598","ABC-KY","868000","1.936165E7","21.2","23.0","21.15","23.0","2.05","394"," 9.79"
"6706","惠特","6572000","6.638984E8","98.0","104.5","97.0","104.5","9.2","3522"," 9.65"
"2388","威盛","18232000","2.228228E9","117.0","126.5","112.0","126.0","11.0","10168"," 9.57"
"6442","光聖","724000","2.184175E8","296.5","309.0","293.5","309.0","26.5","553"," 9.38"
